,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,9.0
1.0,0.6956521739130435,0.7901234567901234,0.7398843930635839,81.0
2.0,0.7884267631103075,0.8650793650793651,0.8249763481551562,504.0
3.0,0.8682926829268293,0.7574468085106383,0.8090909090909091,235.0
4.0,0.638095238095238,0.5317460317460317,0.5800865800865801,126.0
accuracy,0.7801047120418848,0.7801047120418848,0.7801047120418848,0.7801047120418848
macro avg,0.5980933716090837,0.5888791324252317,0.5908076460792459,955.0
weighted avg,0.77294627767786,0.7801047120418848,0.7737654324980333,955.0
